State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Temperature_Avg,Temperature_Min,Temperature_Max,Rainfall_Precipitation,Relative_Humidity,Solar_Radiation,Wind_Speed,Soil_Moisture,Yield_kg_per_ha
Tamil Nadu,ARIYALUR,1997,Kharif,Rice,64272,307163,29.8,23.5,36.11,328.25,72.69,21.0,10.42,25.69,4779.11065471745
Tamil Nadu,ARIYALUR,1997,Kharif,Maize,7682,22277,29.8,23.5,36.11,328.25,72.69,21.0,10.42,25.69,2899.895860453007
Tamil Nadu,ARIYALUR,1997,Kharif,Groundnut,33020,84273,29.8,23.5,36.11,328.25,72.69,21.0,10.42,25.69,2552.180496668685
Tamil Nadu,ARIYALUR,1997,Kharif,Jowar,14156,16121,29.8,23.5,36.11,328.25,72.69,21.0,10.42,25.69,1138.810398417632
Tamil Nadu,ARIYALUR,1997,Kharif,Bajra,5758,11707,29.8,23.5,36.11,328.25,72.69,21.0,10.42,25.69,2033.1712400138936
Tamil Nadu,ARIYALUR,1997,Kharif,Ragi,10848,10606,29.8,23.5,36.11,328.25,72.69,21.0,10.42,25.69,977.6917404129794
Tamil Nadu,ARIYALUR,1997,Kharif,Moong(Green Gram),15871,16364,29.8,23.5,36.11,328.25,72.69,21.0,10.42,25.69,1031.0629449940143
Tamil Nadu,ARIYALUR,1997,Kharif,Urad,23195,9472,29.8,23.5,36.11,328.25,72.69,21.0,10.42,25.69,408.36387152403535
Tamil Nadu,ARIYALUR,1997,Kharif,Cotton(lint),3649,6696,29.8,23.5,36.11,328.25,72.69,21.0,10.42,25.69,1835.0232940531653
Tamil Nadu,ARIYALUR,1997,Kharif,Sunflower,6211,5420,29.8,23.5,36.11,328.25,72.69,21.0,10.42,25.69,872.6453067138947
Tamil Nadu,ARIYALUR,1997,Rabi,Rice,20470,80586,26.3,21.21,31.39,447.86,78.47,18.47,10.94,29.26,3936.7855398143615
Tamil Nadu,ARIYALUR,1997,Rabi,Gram,9593,8957,26.3,21.21,31.39,447.86,78.47,18.47,10.94,29.26,933.7016574585635
Tamil Nadu,ARIYALUR,1997,Rabi,Groundnut,40276,63559,26.3,21.21,31.39,447.86,78.47,18.47,10.94,29.26,1578.086205184229
Tamil Nadu,ARIYALUR,1997,Rabi,Maize,48432,316514,26.3,21.21,31.39,447.86,78.47,18.47,10.94,29.26,6535.2246448629
Tamil Nadu,ARIYALUR,1997,Rabi,Bajra,1630,1838,26.3,21.21,31.39,447.86,78.47,18.47,10.94,29.26,1127.6073619631902
Tamil Nadu,ARIYALUR,1997,Rabi,Jowar,8174,11012,26.3,21.21,31.39,447.86,78.47,18.47,10.94,29.26,1347.198434059212
