State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Tamil Nadu,ARIYALUR,1997,Kharif,Rice,64272,307163
Tamil Nadu,ARIYALUR,1997,Kharif,Maize,7682,22277
Tamil Nadu,ARIYALUR,1997,Kharif,Groundnut,33020,84273
Tamil Nadu,ARIYALUR,1997,Kharif,Jowar,14156,16121
Tamil Nadu,ARIYALUR,1997,Kharif,Bajra,5758,11707
Tamil Nadu,ARIYALUR,1997,Kharif,Ragi,10848,10606
Tamil Nadu,ARIYALUR,1997,Kharif,Moong(Green Gram),15871,16364
Tamil Nadu,ARIYALUR,1997,Kharif,Urad,23195,9472
Tamil Nadu,ARIYALUR,1997,Kharif,Cotton(lint),3649,6696
Tamil Nadu,ARIYALUR,1997,Kharif,Sunflower,6211,5420
Tamil Nadu,ARIYALUR,1997,Rabi,Rice,20470,80586
Tamil Nadu,ARIYALUR,1997,Rabi,Gram,9593,8957
Tamil Nadu,ARIYALUR,1997,Rabi,Groundnut,40276,63559
Tamil Nadu,ARIYALUR,1997,Rabi,Maize,48432,316514
Tamil Nadu,ARIYALUR,1997,Rabi,Bajra,1630,1838
Tamil Nadu,ARIYALUR,1997,Rabi,Jowar,8174,11012
Tamil Nadu,ARIYALUR,1997,Rabi,Moong(Green Gram),9801,8670
Tamil Nadu,ARIYALUR,1997,Rabi,Urad,3650,4080
Tamil Nadu,ARIYALUR,1997,Rabi,Cotton(lint),1504,2425
Tamil Nadu,ARIYALUR,1997,Rabi,Ragi,13902,10456
Tamil Nadu,ARIYALUR,1997,Whole Year,Sugarcane,36170,3236851
Tamil Nadu,ARIYALUR,1997,Whole Year,Banana,4615,149389
Tamil Nadu,ARIYALUR,1997,Whole Year,Tapioca,14762,30313
Tamil Nadu,ARIYALUR,1997,Whole Year,Coconut,15489,34462
Tamil Nadu,ARIYALUR,1997,Whole Year,Cashewnut,8508,14426
Tamil Nadu,ARIYALUR,1997,Whole Year,Turmeric,785,1923
Tamil Nadu,ARIYALUR,1997,Whole Year,Onion,16582,23058
Tamil Nadu,ARIYALUR,1997,Whole Year,Dry chillies,4200,3223
Tamil Nadu,ARIYALUR,1997,Whole Year,Coriander,18148,57388
Tamil Nadu,ARIYALUR,1997,Whole Year,Castor seed,16898,19433
Tamil Nadu,ARIYALUR,1997,Summer,Rice,115641,486305
Tamil Nadu,ARIYALUR,1997,Summer,Groundnut,17719,35779
Tamil Nadu,ARIYALUR,1997,Summer,Sesamum,369,725
Tamil Nadu,ARIYALUR,1997,Summer,Sunflower,2795,4257
Tamil Nadu,ARIYALUR,1997,Summer,Black gram,9445,27275
Tamil Nadu,ARIYALUR,1998,Kharif,Rice,144482,427158
Tamil Nadu,ARIYALUR,1998,Kharif,Maize,15633,33879
Tamil Nadu,ARIYALUR,1998,Kharif,Groundnut,6273,9787
Tamil Nadu,ARIYALUR,1998,Kharif,Jowar,3358,6431
Tamil Nadu,ARIYALUR,1998,Kharif,Bajra,11686,34321
Tamil Nadu,ARIYALUR,1998,Kharif,Ragi,7337,17984
Tamil Nadu,ARIYALUR,1998,Kharif,Moong(Green Gram),3742,3747
Tamil Nadu,ARIYALUR,1998,Kharif,Urad,2242,1767
Tamil Nadu,ARIYALUR,1998,Kharif,Cotton(lint),17336,11622
Tamil Nadu,ARIYALUR,1998,Kharif,Sunflower,14740,23536
Tamil Nadu,ARIYALUR,1998,Rabi,Rice,62321,185053
Tamil Nadu,ARIYALUR,1998,Rabi,Gram,11101,10415
Tamil Nadu,ARIYALUR,1998,Rabi,Groundnut,30095,51554
Tamil Nadu,ARIYALUR,1998,Rabi,Maize,42965,202052
