S.No,Crop,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
1,Paddy - Kar / Kuruvai / Sornavari,1046910,1384666,833149,1258422,1382550,1443032,1224287,906616,1198496,847692
2,Paddy - Samba / Thaladi / Pishanam,4273700,5592375,2856617,5155829,5704087,4744526,1865991,4497284,3940959,4954415
3,Paddy - Navarai / Kodai,471805,481616,360568,700944,862800,1187123,463835,1234550,992095,1463054
4,Maize,1027536,1695467,946363,2245216,2647751,2532330,953377,2591632,2834437,2614747
5,Cholam (Jowar),246981,252522,174966,513313,868940,439619,153856,430661,464481,519821
6,Ragi,171096,224862,138011,362343,349628,282054,114429,321332,255975,274474
7,Cumbu (Bajra),77369,114447,56505,117436,177570,134331,102250,143548,118007,185083
8,Samai,17250,25060,19071,25445,25264,24965,16099,18679,23785,21866
9,Varagu,12946,8362,4511,6187,5498,7190,1572,3720,2844,4019
10,Korra,391,330,375,480,518,349,419,525,304,1091
11,Black gram,123011,178816,88706,310658,358895,276371,184610,301603,274307,317423
12,Green gram,57683,85118,33674,151400,180726,134246,56087,78259,76862,76414
13,Red gram,23671,31292,33105,57666,90950,59968,37053,53788,51632,53236
14,Horse gram,21729,37181,25455,56869,68304,44614,12361,48534,53530,61376
15,Bengal gram,4937,5520,4530,5823,4177,3176,3394,4820,5418,5138
16,Sugarcane (cane),34251796,38974842,34014097,32454135,28092784,25508824,18987555,17153978,17096340,14119220
17,Turmeric,277980,368411,174775,117416,105002,115351,129563,73134,92361,96254
18,Groundnut,895638,1060654,785362,915884,925182,892280,588854,1007452,911240,1032903
19,Cotton,247930,381769,255470,416560,598939,326659,201516,438585,320303,418081
20,Banana,4800472,4505435,3909764,3840375,3725937,3610173,3028869,3044122,3484599,3987895
