S.NO.,DISTRICT,AREA_Kar_Kuruvai_Sornavari,AREA_Samba_Thaladi_Pishanam,AREA_Navarai_Kodai,AREA_Total,PRODUCTION_Kar_Kuruvai_Sornavari,PRODUCTION_Samba_Thaladi_Pishanam,PRODUCTION_Navarai_Kodai,PRODUCTION_Total,PRODUCTIVITY_Kar_Kuruvai_Sornavari,PRODUCTIVITY_Samba_Thaladi_Pishanam,PRODUCTIVITY_Navarai_Kodai,PRODUCTIVITY_Total
1,Chennai,20,90,9,119,0,0,0,0,0,0,0,0
2,Kancheepuram,4421,15284,18786,38491,22705,78277,101977,202959,5132,5120,5428,5271
3,Chengalpattu,5140,15846,27852,48838,26030,75099,129248,230377,5064,4739,4640,4717
4,Thiruvallur,18297,51567,26745,96609,90737,207074,121916,419727,4955,4009,4557,4340
5,Cuddalore,34829,89245,8077,132151,137820,325393,32096,495309,3957,3646,3974,3748
6,Villupuram,5245,70339,30460,106044,23867,297489,123276,444632,4550,4229,4047,4193
7,Kallakurichi,1764,42520,12965,57249,7720,170562,58969,237251,4376,4011,4548,4144
8,Vellore,962,2079,4553,7594,3948,7567,19592,31107,4104,3641,4303,4097
9,Ranipet,3713,9193,20515,33421,17373,41492,97046,155911,4679,4513,4730,4665
10,Thirupathur,296,2929,1329,4554,1215,10662,5719,17596,4104,3641,4303,3864
11,Thiruvannamalai,11356,88153,62170,161679,46903,382922,259644,689469,4130,4344,4176,4264
12,Salem,295,15141,4154,19590,1211,65898,17484,84593,4104,4352,4209,4318
13,Namakkal,608,9103,842,10553,2495,41616,3623,47734,4104,4572,4303,4523
14,Dharmapuri,8,13229,2575,15812,38,56481,11272,67791,4733,4269,4378,4287
15,Krishnagiri,2922,14019,6627,23568,14195,63317,33176,110688,4857,4516,5007,4697
16,Coimbatore,11,733,117,861,48,2667,504,3219,4104,3641,4303,3737
17,Tiruppur,0,9185,664,9849,0,44903,2857,47760,0,4889,4303,4849
18,Erode,306,26756,7505,34567,1257,124038,32297,157592,4104,4636,4303,4559
19,Tiruchirappalli,3522,43131,2970,49623,18508,179810,11824,210142,5254,4169,3981,4235
20,Karur,0,10862,268,11130,0,37843,1154,38997,0,3484,4303,3504
21,Perambalur,60,3710,2392,6162,247,16448,10293,26988,4104,4434,4303,4380
22,Ariyalur,2448,20379,397,23224,8348,79599,1709,89656,3410,3906,4303,3861
23,Pudukkottai,4072,79902,3835,87809,15182,246039,11967,273188,3728,3079,3121,3111
24,Thanjavur,37085,135102,20044,192231,139259,494543,81310,715112,3755,3661,4057,3720
25,Thiruvarur,22685,148477,9738,180900,89389,527607,42283,659279,3940,3553,4342,3644
26,Nagapattinam,36665,132169,388,169222,140038,416902,1669,558609,3819,3154,4303,3301
27,Madurai,658,32096,7714,40468,2699,134887,28330,165916,4104,4203,3673,4100
28,Theni,641,6618,1671,8930,2633,26844,7191,36668,4104,4056,4303,4106
29,Dindigul,217,3424,4499,8140,891,14468,21577,36936,4104,4225,4796,4537
30,Ramanathapuram,0,127288,0,127288,0,321481,0,321481,0,2526,0,2526
31,Virudhunagar,151,19755,4586,24492,618,64568,17595,82781,4104,3268,3837,3380
32,Sivaganga,131,69423,817,70371,537,184267,3512,188316,4104,2654,4303,2676
33,Tirunelveli,930,17599,21276,39805,4116,76591,87356,168063,4428,4352,4106,4222
34,Tenkasi,1366,25538,12500,39404,5346,97842,44117,147305,3915,3831,3529,3738
35,Thoothukudi,497,4121,10901,15519,2041,15207,40259,57507,4104,3690,3693,3705
36,The Nilgiris,170,0,0,170,698,0,0,698,4104,0,0,4104
37,Kanyakumari,5044,5877,49,10970,19580,24012,212,43804,3882,4086,4303,3993
