District_Name,Crop_Year,Season,Temperature_Avg,Temperature_Min,Temperature_Max,Rainfall_Precipitation,Relative_Humidity,Solar_Radiation,Wind_Speed,Soil_Moisture
ARIYALUR,1997,Kharif,29.8,23.5,36.11,328.25,72.69,21.0,10.42,25.69
ARIYALUR,1997,Rabi,26.3,21.21,31.39,447.86,78.47,18.47,10.94,29.26
ARIYALUR,1997,Whole Year,30.5,23.5,37.5,825.75,70.0,21.87,13.81,25.0
ARIYALUR,1997,Summer,34.42,26.27,42.57,76.71,48.28,22.4,7.11,13.86
ARIYALUR,1998,Kharif,31.21,24.85,37.57,438.69,75.72,18.16,13.67,22.03
ARIYALUR,1998,Rabi,26.53,20.21,32.84,357.51,80.61,15.47,8.87,25.81
ARIYALUR,1998,Whole Year,30.5,23.5,37.5,1056.8,70.0,20.64,10.64,25.0
ARIYALUR,1998,Summer,33.42,27.0,39.83,67.37,54.95,24.18,7.5,16.92
ARIYALUR,1999,Kharif,31.14,24.48,37.79,366.43,77.85,20.89,16.76,21.35
ARIYALUR,1999,Rabi,27.25,22.44,32.06,400.66,84.47,16.58,13.83,31.51
ARIYALUR,1999,Whole Year,30.5,23.5,37.5,1043.48,70.0,20.18,9.95,25.0
ARIYALUR,1999,Summer,33.92,26.9,40.94,107.91,58.23,25.47,8.82,17.45
ARIYALUR,2000,Kharif,29.09,23.26,34.92,426.68,76.01,21.82,10.66,29.34
ARIYALUR,2000,Rabi,27.49,22.22,32.77,344.79,80.58,18.63,9.06,33.55
ARIYALUR,2000,Whole Year,30.5,23.5,37.5,896.24,70.0,19.97,9.29,25.0
ARIYALUR,2000,Summer,32.07,25.94,38.2,105.11,56.43,24.64,9.79,12.53
ARIYALUR,2001,Kharif,29.01,23.3,34.73,438.01,68.11,18.2,17.55,27.62
ARIYALUR,2001,Rabi,26.45,21.11,31.8,352.14,82.06,17.07,9.91,28.17
ARIYALUR,2001,Whole Year,30.5,23.5,37.5,1063.25,70.0,21.67,10.37,25.0
ARIYALUR,2001,Summer,31.89,25.41,38.36,93.44,58.11,25.41,9.78,10.88
ARIYALUR,2002,Kharif,30.17,23.77,36.57,180.28,63.71,22.82,17.14,19.18
ARIYALUR,2002,Rabi,27.37,20.45,34.29,254.97,75.84,15.32,13.98,19.84
ARIYALUR,2002,Whole Year,31.4,23.5,39.3,560.93,62.0,19.88,9.85,16.25
ARIYALUR,2002,Summer,33.3,25.64,40.97,29.28,49.56,24.41,9.94,8.66
ARIYALUR,2003,Kharif,31.37,24.98,37.77,190.59,59.08,20.89,15.37,17.18
ARIYALUR,2003,Rabi,27.89,21.16,34.62,208.52,69.16,15.04,13.89,17.62
ARIYALUR,2003,Whole Year,31.4,23.5,39.3,621.49,62.0,21.34,12.53,16.25
ARIYALUR,2003,Summer,34.2,26.1,42.3,23.12,50.41,23.58,11.13,9.25
ARIYALUR,2004,Kharif,30.52,23.47,37.56,381.37,70.51,22.28,11.84,21.5
ARIYALUR,2004,Rabi,27.8,22.85,32.75,584.96,80.64,16.64,11.46,31.71
ARIYALUR,2004,Whole Year,30.5,23.5,37.5,1015.13,70.0,20.04,10.93,25.0
ARIYALUR,2004,Summer,33.93,26.95,40.9,90.68,52.34,23.69,8.67,14.84
ARIYALUR,2005,Kharif,30.37,24.34,36.4,462.27,69.96,18.34,16.99,23.99
ARIYALUR,2005,Rabi,26.78,20.03,33.52,441.08,81.28,16.11,8.51,30.26
ARIYALUR,2005,Whole Year,30.5,23.5,37.5,892.28,70.0,21.91,11.99,25.0
ARIYALUR,2005,Summer,31.66,25.51,37.81,85.99,59.16,24.76,11.19,13.62
ARIYALUR,2006,Kharif,30.17,24.57,35.77,443.32,75.72,21.03,15.55,29.59
ARIYALUR,2006,Rabi,28.04,22.54,33.53,558.45,79.77,16.61,13.6,33.19
ARIYALUR,2006,Whole Year,30.5,23.5,37.5,1099.83,70.0,20.93,9.16,25.0
ARIYALUR,2006,Summer,34.31,26.69,41.92,78.52,57.03,22.05,8.31,11.03
ARIYALUR,2007,Kharif,30.39,23.25,37.53,443.59,66.42,18.68,11.08,23.83
ARIYALUR,2007,Rabi,28.36,22.78,33.94,573.47,75.69,15.57,9.57,32.75
ARIYALUR,2007,Whole Year,30.5,23.5,37.5,998.79,70.0,20.89,13.56,25.0
ARIYALUR,2007,Summer,32.45,26.93,37.97,38.84,59.11,24.78,8.05,13.62
ARIYALUR,2008,Kharif,30.01,23.63,36.38,321.66,71.21,19.7,16.82,25.45
ARIYALUR,2008,Rabi,27.84,22.81,32.86,370.23,78.39,16.31,8.43,34.51
ARIYALUR,2008,Whole Year,30.5,23.5,37.5,937.32,70.0,19.47,11.78,25.0
ARIYALUR,2008,Summer,32.58,26.1,39.07,63.81,49.96,22.9,9.69,16.1
ARIYALUR,2009,Kharif,30.31,24.56,36.06,470.83,77.01,20.97,15.99,26.51
ARIYALUR,2009,Rabi,25.77,20.04,31.51,531.56,75.06,15.5,12.33,32.59
ARIYALUR,2009,Whole Year,30.5,23.5,37.5,750.5,70.0,20.0,9.59,25.0
ARIYALUR,2009,Summer,32.47,25.22,39.72,61.16,47.64,25.13,11.61,17.04
ARIYALUR,2010,Kharif,30.48,24.37,36.59,490.4,78.94,21.13,10.48,37.75
ARIYALUR,2010,Rabi,27.43,22.58,32.27,519.23,85.54,18.85,10.47,38.79
ARIYALUR,2010,Whole Year,30.5,23.5,37.5,1024.32,75.0,20.39,13.58,31.25
ARIYALUR,2010,Summer,32.71,25.14,40.28,116.95,64.95,24.39,10.66,15.59
ARIYALUR,2011,Kharif,30.16,23.2,37.12,555.81,70.32,18.92,15.71,33.58
ARIYALUR,2011,Rabi,26.15,21.26,31.04,579.5,87.86,17.65,11.43,39.96
ARIYALUR,2011,Whole Year,30.5,23.5,37.5,1363.91,75.0,21.55,11.28,31.25
ARIYALUR,2011,Summer,32.79,26.38,39.2,88.57,63.66,24.66,9.27,19.61
ARIYALUR,2012,Kharif,29.36,24.45,34.27,455.12,66.02,22.64,13.98,21.81
ARIYALUR,2012,Rabi,27.61,22.62,32.6,314.0,84.15,18.19,11.03,34.26
ARIYALUR,2012,Whole Year,30.5,23.5,37.5,831.59,70.0,21.56,13.03,25.0
ARIYALUR,2012,Summer,32.37,25.84,38.91,71.39,45.64,22.38,8.01,14.83
ARIYALUR,2013,Kharif,29.15,23.64,34.66,435.63,78.93,18.4,17.79,24.06
ARIYALUR,2013,Rabi,26.6,22.07,31.13,462.88,84.55,15.64,11.46,27.74
ARIYALUR,2013,Whole Year,30.5,23.5,37.5,742.86,70.0,21.96,12.58,25.0
ARIYALUR,2013,Summer,33.25,25.53,40.98,34.77,56.9,23.74,11.98,15.04
COIMBATORE,1997,Kharif,29.03,23.12,34.94,360.96,61.95,19.6,12.97,26.6
COIMBATORE,1997,Rabi,25.72,19.67,31.77,318.06,71.02,16.32,13.58,30.01
COIMBATORE,1997,Whole Year,29.5,22.5,36.5,697.52,64.0,19.98,13.42,22.0
COIMBATORE,1997,Summer,30.67,25.11,36.23,41.18,44.89,26.25,9.12,10.38
COIMBATORE,1998,Kharif,28.23,23.23,33.23,356.92,59.5,18.0,14.91,20.06
COIMBATORE,1998,Rabi,26.29,21.11,31.47,433.55,72.88,18.83,10.72,30.1
COIMBATORE,1998,Whole Year,29.5,22.5,36.5,706.27,64.0,20.55,13.79,22.0
COIMBATORE,1998,Summer,30.77,24.65,36.9,58.65,50.62,23.39,11.19,13.3
COIMBATORE,1999,Kharif,28.22,23.43,33.02,293.39,62.75,18.14,10.51,24.62
COIMBATORE,1999,Rabi,25.77,20.76,30.79,454.74,77.25,16.86,9.65,26.46
COIMBATORE,1999,Whole Year,29.5,22.5,36.5,792.84,64.0,19.03,12.06,22.0
COIMBATORE,1999,Summer,32.74,24.58,40.9,32.25,50.95,22.97,11.66,9.73
COIMBATORE,2000,Kharif,29.71,22.47,36.95,365.12,65.15,22.2,15.36,26.34
COIMBATORE,2000,Rabi,26.91,21.52,32.29,383.82,74.4,17.92,9.64,22.66
